session,division,date,subject,result,yeas,nays,paired,bill,bill_type,bill_type_source,category,stage,confidence_proxy,repair_id,source_file
41-1,95,2011-12-05T18:25:57,"2nd reading of Bill C-29, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",Agreed To,157,127,0,C-29,House Government Bill,legisinfo,supply,second_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,96,2011-12-05T18:30:02,"Concurrence at report stage of Bill C-29, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",Agreed To,157,127,0,C-29,House Government Bill,legisinfo,supply,report_stage,1,,Parliament_41-1/votes_metadata.csv
41-1,97,2011-12-05T18:35:28,"3rd reading and adoption of Bill C-29, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",Agreed To,157,127,0,C-29,House Government Bill,legisinfo,supply,third_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,98,2011-12-05T18:40:34,"3rd reading and adoption of Bill C-10, An Act to enact the Justice for Victims of Terrorism Act and to amend the State Immunity Act, the Criminal Code, the Controlled Drugs and Substances Act, the Corrections and Conditional Release Act, the Youth Criminal Justice Act, the Immigration and Refugee Protection Act and other Acts",Agreed To,157,127,0,C-10,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,99,2011-12-07T15:45:08,"Time allocation for Bill C-20, An Act to amend the Constitution Act, 1867, the Electoral Boundaries Readjustment Act and the Canada Elections Act",Agreed To,147,121,0,C-20,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,100,2011-12-12T18:45:20,"Bill C-20, An Act to amend the Constitution Act, 1867, the Electoral Boundaries Readjustment Act and the Canada Elections Act (report stage amendment)",Negatived,95,186,0,C-20,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,101,2011-12-12T18:50:48,"Bill C-20, An Act to amend the Constitution Act, 1867, the Electoral Boundaries Readjustment Act and the Canada Elections Act (report stage amendment)",Negatived,95,186,0,C-20,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,102,2011-12-12T18:55:36,"Concurrence at report stage of Bill C-20, An Act to amend the Constitution Act, 1867, the Electoral Boundaries Readjustment Act and the Canada Elections Act",Agreed To,154,127,0,C-20,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,103,2011-12-13T17:45:35,"3rd reading and adoption of Bill C-20, An Act to amend the Constitution Act, 1867, the Electoral Boundaries Readjustment Act and the Canada Elections Act",Agreed To,154,131,0,C-20,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,104,2011-12-14T18:00:08,"2nd reading of Bill C-308, An Act respecting a Commission of Inquiry into the development and implementation of a national fishery rebuilding strategy for fish stocks off the coast of Newfoundland and Labrador",Negatived,115,158,0,C-308,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,105,2012-01-31T11:35:51,"Time allocation for Bill C-25, An Act relating to pooled registered pension plans and making related amendments to other Acts",Agreed To,153,125,0,C-25,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,106,2012-02-01T17:45:32,"2nd reading of Bill C-25, An Act relating to pooled registered pension plans and making related amendments to other Acts",Agreed To,189,92,0,C-25,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,107,2012-02-01T17:55:09,Private Members' Business M-270 (Infrastructure),Negatived,123,158,0,,,unknown,private_members_business,,0,,Parliament_41-1/votes_metadata.csv
41-1,108,2012-02-01T18:05:10,"2nd reading of Bill C-288, An Act respecting the National Flag of Canada",Agreed To,155,125,0,C-288,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,109,2012-02-06T18:45:00,Opposition Motion (Old Age Security),Negatived,127,147,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,110,2012-02-07T11:00:53,"Time allocation for Bill C-19, An Act to amend the Criminal Code and the Firearms Act",Agreed To,150,132,0,C-19,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,111,2012-02-07T18:15:31,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,112,2012-02-07T18:25:29,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,113,2012-02-07T18:35:06,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,114,2012-02-07T18:45:28,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,115,2012-02-07T18:55:28,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,116,2012-02-07T19:05:00,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,117,2012-02-07T19:15:00,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,149,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,118,2012-02-07T19:25:49,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,119,2012-02-07T19:35:08,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,120,2012-02-07T19:45:49,"Bill C-19, An Act to amend the Criminal Code and the Firearms Act (report stage amendment)",Negatived,131,150,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,121,2012-02-07T19:55:32,"Concurrence at report stage of Bill C-19, An Act to amend the Criminal Code and the Firearms Act",Agreed To,152,131,0,C-19,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,122,2012-02-08T16:45:00,"Time allocation for Bill C-11, An Act to amend the Copyright Act",Agreed To,146,128,0,C-11,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,123,2012-02-08T18:00:01,"2nd reading of Bill C-306, An Act to amend the Parliament of Canada Act (political affiliation)",Negatived,91,181,0,C-306,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,124,2012-02-13T12:11:40,Opposition Motion (Investment Canada Act),Negatived,115,148,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,125,2012-02-13T12:18:07,"2nd reading of Bill C-11, An Act to amend the Copyright Act (previous question)",Agreed To,148,115,0,C-11,House Government Bill,legisinfo,procedural,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,126,2012-02-13T12:19:07,"2nd reading of Bill C-11, An Act to amend the Copyright Act",Agreed To,148,115,0,C-11,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,127,2012-02-14T10:26:32,"Time allocation for Bill S-5, An Act to amend the law governing financial institutions and to provide for related and consequential matters",Agreed To,151,119,0,S-5,Senate Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,128,2012-02-15T19:00:00,"3rd reading and adoption of Bill C-19, An Act to amend the Criminal Code and the Firearms Act",Agreed To,159,130,0,C-19,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,129,2012-02-15T19:00:00,"2nd reading of Bill C-309, An Act to amend the Criminal Code (concealment of identity)",Agreed To,190,97,0,C-309,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,130,2012-02-15T19:00:00,"2nd reading of Bill C-300, An Act respecting a Federal Framework for Suicide Prevention",Agreed To,285,3,0,C-300,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,131,2012-02-15T19:00:00,"2nd reading of Bill C-215, An Act to amend the Canadian Forces Superannuation Act and the Royal Canadian Mounted Police Superannuation Act (deletion of deduction from annuity)",Negatived,132,157,0,C-215,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,132,2012-02-15T19:00:00,"2nd reading of Bill C-291, An Act to amend the Employment Insurance Act (waiting period and maximum special benefits)",Negatived,132,157,0,C-291,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,133,2012-02-15T19:00:00,"2nd reading of Bill C-304, An Act to amend the Canadian Human Rights Act (protecting freedom)",Agreed To,158,131,0,C-304,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,134,2012-02-27T18:45:00,Opposition Motion (Education for First Nation children),Agreed To,268,0,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,135,2012-02-28T17:45:00,Opposition Motion (Canadian Charter of Rights and Freedoms),Agreed To,274,0,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,136,2012-02-29T20:30:00,"2nd reading of Bill C-280, An Act to establish a National Strategy for Chronic Cerebrospinal Venous Insufficiency (CCSVI)",Negatived,133,139,0,C-280,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,137,2012-02-29T20:30:00,Private Members' Business M-274 (Multiple sclerosis),Agreed To,154,119,0,,,unknown,private_members_business,,0,,Parliament_41-1/votes_metadata.csv
41-1,138,2012-02-29T20:30:00,"2nd reading of Bill C-315, An Act to amend the Canada Labour Code (French language)",Negatived,90,185,0,C-315,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,139,2012-02-29T20:28:00,"2nd reading of Bill C-299, An Act to amend the Criminal Code (kidnapping of young person)",Agreed To,150,123,0,C-299,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,140,2012-03-05T15:05:00,"2nd reading of Bill C-23, An Act to implement the Free Trade Agreement between Canada and the Hashemite Kingdom of Jordan, the Agreement on the Environment between Canada and the Hashemite Kingdom of Jordan and the Agreement on Labour Cooperation between Canada and the Hashemite Kingdom of Jordan (previous question)",Agreed To,140,118,0,C-23,House Government Bill,legisinfo,procedural,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,141,2012-03-05T15:10:38,"2nd reading of Bill C-23, An Act to implement the Free Trade Agreement between Canada and the Hashemite Kingdom of Jordan, the Agreement on the Environment between Canada and the Hashemite Kingdom of Jordan and the Agreement on Labour Cooperation between Canada and the Hashemite Kingdom of Jordan",Agreed To,263,0,0,C-23,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,142,2012-03-06T12:14:35,Opposition Motion (Military and RCMP veterans) (amendment),Negatived,122,147,0,,,unknown,opposition_motion,amendment,0,,Parliament_41-1/votes_metadata.csv
41-1,143,2012-03-06T12:16:50,Opposition Motion (Military and RCMP veterans),Negatived,122,147,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,144,2012-03-06T12:17:32,Referral of a question of privilege to committee,Agreed To,268,0,0,,,unknown,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,145,2012-03-07T16:10:00,Motion to adjourn the House,Negatived,120,149,0,,,unknown,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,146,2012-03-07T16:33:27,Motion to proceed to Orders of the Day,Agreed To,149,117,0,,,unknown,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,147,2012-03-07T17:30:42,"Time allocation for Bill C-10, An Act to enact the Justice for Victims of Terrorism Act and to amend the State Immunity Act, the Criminal Code, the Controlled Drugs and Substances Act, the Corrections and Conditional Release Act, the Youth Criminal Justice Act, the Immigration and Refugee Protection Act and other Acts",Agreed To,150,122,0,C-10,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,148,2012-03-07T17:32:16,"2nd reading of Bill C-293, An Act to amend the Corrections and Conditional Release Act (vexatious complainants)",Agreed To,181,91,0,C-293,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,149,2012-03-07T17:39:37,"2nd reading of Bill C-312, An Act to amend the Constitution Act, 1867 (democratic representation)",Negatived,90,182,0,C-312,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,150,2012-03-07T17:59:26,Private Members' Business M-269 (Financial literacy),Agreed To,269,3,0,,,unknown,private_members_business,,0,,Parliament_41-1/votes_metadata.csv
41-1,151,2012-03-07T18:00:08,Private Members' Business M-271 (Port of Québec),Negatived,122,150,0,,,unknown,private_members_business,,0,,Parliament_41-1/votes_metadata.csv
41-1,152,2012-03-12T16:03:21,"Time allocation for Bill C-31, An Act to amend the Immigration and Refugee Protection Act, the Balanced Refugee Reform Act, the Marine Transportation Security Act and the Department of Citizenship and Immigration Act",Agreed To,152,118,0,C-31,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,153,2012-03-12T17:34:29,Opposition Motion (Elections Canada Act) (amendment),Agreed To,283,0,0,,,unknown,opposition_motion,amendment,0,,Parliament_41-1/votes_metadata.csv
41-1,154,2012-03-12T17:36:55,Opposition Motion (Elections Canada Act),Agreed To,283,0,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,155,2012-03-12T17:37:30,"Motion respecting Senate amendments to Bill C-10, An Act to enact the Justice for Victims of Terrorism Act and to amend the State Immunity Act, the Criminal Code, the Controlled Drugs and Substances Act, the Corrections and Conditional Release Act, the Youth Criminal Justice Act, the Immigration and Refugee Protection Act and other Acts (reasoned amendment)",Negatived,129,154,0,C-10,House Government Bill,legisinfo,government_bill,senate_amendments,0,,Parliament_41-1/votes_metadata.csv
41-1,156,2012-03-12T18:36:58,"Motion respecting Senate amendments to Bill C-10, An Act to enact the Justice for Victims of Terrorism Act and to amend the State Immunity Act, the Criminal Code, the Controlled Drugs and Substances Act, the Corrections and Conditional Release Act, the Youth Criminal Justice Act, the Immigration and Refugee Protection Act and other Acts",Agreed To,154,129,0,C-10,House Government Bill,legisinfo,government_bill,senate_amendments,0,,Parliament_41-1/votes_metadata.csv
41-1,157,2012-03-13T16:10:59,Motion for closure,Agreed To,154,129,0,,,unknown,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,158,2012-03-13T20:15:51,Government Business No. 10 (Proceedings on a bill entitled An Act to provide for the continuation and resumption of air service operations),Agreed To,154,125,0,,,unknown,government_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,159,2012-03-13T22:50:52,"2nd reading of Bill C-33, An Act to provide for the continuation and resumption of air service operations",Agreed To,155,117,0,C-33,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,160,2012-03-14T00:42:26,"Concurrence at report stage of Bill C-33, An Act to provide for the continuation and resumption of air service operations",Agreed To,154,123,0,C-33,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,161,2012-03-14T00:54:18,"3rd reading and adoption of Bill C-33, An Act to provide for the continuation and resumption of air service operations",Agreed To,155,124,0,C-33,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,162,2012-03-14T17:45:09,Opposition Motion (Shortages of medications) (amendment),Agreed To,283,0,0,,,unknown,opposition_motion,amendment,0,,Parliament_41-1/votes_metadata.csv
41-1,163,2012-03-14T18:05:50,Opposition Motion (Shortages of medications),Agreed To,283,0,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,164,2012-03-14T18:10:22,Concurrence in estimates,Agreed To,155,128,0,,,unknown,supply,,1,,Parliament_41-1/votes_metadata.csv
41-1,165,2012-03-14T18:20:17,"2nd reading of Bill C-34, An Act for granting to her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",Agreed To,155,128,0,C-34,House Government Bill,legisinfo,supply,second_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,166,2012-03-14T18:30:37,"Concurrence at report stage of Bill C-34, An Act for granting to her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",Agreed To,155,128,0,C-34,House Government Bill,legisinfo,supply,report_stage,1,,Parliament_41-1/votes_metadata.csv
41-1,167,2012-03-14T18:40:23,"3rd reading and adoption of Bill C-34, An Act for granting to her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2012",Agreed To,155,128,0,C-34,House Government Bill,legisinfo,supply,third_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,168,2012-03-14T18:50:48,Concurrence in Interim Supply,Agreed To,155,128,0,,,unknown,supply,,1,,Parliament_41-1/votes_metadata.csv
41-1,169,2012-03-14T19:00:00,"2nd reading of Bill C-35, An Act for granting to her majesty certain sums of money for the federal public administration for the financial year ending March 31, 2013",Agreed To,155,128,0,C-35,House Government Bill,legisinfo,supply,second_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,170,2012-03-14T19:10:24,"Concurrence at report stage of Bill C-35, An Act for granting to her majesty certain sums of money for the federal public administration for the financial year ending March 31, 2013",Agreed To,155,128,0,C-35,House Government Bill,legisinfo,supply,report_stage,1,,Parliament_41-1/votes_metadata.csv
41-1,171,2012-03-14T19:20:03,"3rd reading and adoption of Bill C-35, An Act for granting to her majesty certain sums of money for the federal public administration for the financial year ending March 31, 2013",Agreed To,155,128,0,C-35,House Government Bill,legisinfo,supply,third_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,172,2012-03-14T19:30:55,"2nd reading of Bill C-267, An Act respecting the preservation of Canada’s water resources",Negatived,125,156,0,C-267,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,173,2012-03-14T19:40:40,"Bill C-314, An Act respecting the awareness of screening among women with dense breast tissue (report stage amendment)",Negatived,123,159,0,C-314,Private Member’s Bill,legisinfo,private_members_business,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,174,2012-03-14T20:00:04,"2nd reading of Bill C-377, An Act to amend the Income Tax Act (requirements for labour organizations)",Agreed To,154,127,0,C-377,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,175,2012-03-28T17:22:40,"3rd reading and adoption of Bill S-5, An Act to amend the law governing financial institutions and to provide for related and consequential matters",Agreed To,291,0,0,S-5,Senate Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,176,2012-03-28T17:27:15,"3rd reading and adoption of Bill C-288, An Act respecting the National Flag of Canada",Agreed To,187,103,0,C-288,Private Member’s Bill,legisinfo,private_members_business,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,177,2012-03-28T20:00:00,"2nd reading of Bill C-350, An Act to amend the Corrections and Conditional Release Act (accountability of offenders)",Agreed To,291,0,0,C-350,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,178,2012-04-03T17:20:26,Budgetary policy (subamendment),Negatived,135,153,0,,,unknown,supply,amendment,1,,Parliament_41-1/votes_metadata.csv
41-1,179,2012-04-03T17:22:56,Budgetary policy (amendment),Negatived,135,153,0,,,unknown,supply,amendment,1,,Parliament_41-1/votes_metadata.csv
41-1,180,2012-04-04T17:45:44,Budgetary policy,Agreed To,150,132,0,,,unknown,supply,,1,,Parliament_41-1/votes_metadata.csv
41-1,181,2012-04-04T17:55:50,"Concurrence at report stage of Bill C-310, An Act to amend the Criminal Code (trafficking in persons)",Agreed To,283,0,0,C-310,Private Member’s Bill,legisinfo,private_members_business,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,182,2012-04-23T19:00:00,"2nd reading of Bill C-31, An Act to amend the Immigration and Refugee Protection Act, the Balanced Refugee Reform Act, the Marine Transportation Security Act and the Department of Citizenship and Immigration Act (reasoned amendment)",Negatived,121,146,0,C-31,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,183,2012-04-23T19:00:00,"2nd reading of Bill C-31, An Act to amend the Immigration and Refugee Protection Act, the Balanced Refugee Reform Act, the Marine Transportation Security Act and the Department of Citizenship and Immigration Act",Agreed To,146,121,0,C-31,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,184,2012-04-24T15:00:00,Ways and Means motion No. 11,Agreed To,151,126,0,,,unknown,supply,,1,,Parliament_41-1/votes_metadata.csv
41-1,185,2012-04-30T18:30:00,Opposition Motion (Health and safety of Canadians),Negatived,129,149,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,186,2012-04-30T18:35:00,Opposition Motion (Old Age Security and Guaranteed Income Supplement),Negatived,129,149,0,,,unknown,opposition_motion,,0,,Parliament_41-1/votes_metadata.csv
41-1,187,2012-05-03T11:38:47,"Time allocation for Bill C-38, An Act to implement certain provisions of the budget tabled in Parliament on March 29, 2012 and other measures",Agreed To,145,122,0,C-38,House Government Bill,legisinfo,procedural,,1,,Parliament_41-1/votes_metadata.csv
41-1,188,2012-05-09T16:00:51,Motion to hear another Member,Negatived,97,180,0,,,unknown,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,189,2012-05-09T16:55:58,Motion to adjourn the House,Negatived,96,179,0,,,unknown,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,190,2012-05-09T18:00:00,"Concurrence at report stage of Bill C-304, An Act to amend the Canadian Human Rights Act (protecting freedom)",Agreed To,149,129,0,C-304,Private Member’s Bill,legisinfo,private_members_business,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,191,2012-05-09T18:10:00,"2nd reading of Bill C-307, An Act to amend the Canada Labour Code (pregnant or nursing employees)",Negatived,108,169,0,C-307,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,192,2012-05-09T18:20:00,Private Members' Business M-331 (Housing),Agreed To,278,0,0,,,unknown,private_members_business,,0,,Parliament_41-1/votes_metadata.csv
41-1,193,2012-05-09T18:30:00,"3rd reading and adoption of Bill C-314, An Act respecting the awareness of screening among women with dense breast tissue",Agreed To,274,4,0,C-314,Private Member’s Bill,legisinfo,private_members_business,third_reading,0,,Parliament_41-1/votes_metadata.csv
41-1,194,2012-05-14T18:45:00,"2nd reading of Bill C-38, An Act to implement certain provisions of the budget tabled in Parliament on March 29, 2012 and other measures (reasoned amendment)",Negatived,132,148,0,C-38,House Government Bill,legisinfo,government_bill,second_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,195,2012-05-14T18:55:00,"2nd reading of Bill C-38, An Act to implement certain provisions of the budget tabled in Parliament on March 29, 2012 and other measures",Agreed To,149,132,0,C-38,House Government Bill,legisinfo,government_bill,second_reading,1,,Parliament_41-1/votes_metadata.csv
41-1,196,2012-05-15T11:15:07,"Time allocation for Bill C-11, An Act to amend the Copyright Act",Agreed To,148,130,0,C-11,House Government Bill,legisinfo,procedural,,0,,Parliament_41-1/votes_metadata.csv
41-1,197,2012-05-15T18:15:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,39,245,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,198,2012-05-15T18:20:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,6,278,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,199,2012-05-15T18:25:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,6,278,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,200,2012-05-15T18:30:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,135,150,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,201,2012-05-15T18:35:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,133,151,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,202,2012-05-15T18:40:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,6,279,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,203,2012-05-15T18:45:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,6,278,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,204,2012-05-15T18:50:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,39,246,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,205,2012-05-15T18:55:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,135,150,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,206,2012-05-15T19:00:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,135,150,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,207,2012-05-15T19:05:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,135,150,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,208,2012-05-15T19:10:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,35,250,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,41-1/208,Parliament_41-1/votes_metadata.csv
41-1,209,2012-05-15T19:15:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,39,245,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,210,2012-05-15T19:20:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,135,149,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,211,2012-05-15T19:25:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,6,278,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
41-1,212,2012-05-15T19:30:00,"Bill C-11, An Act to amend the Copyright Act (report stage amendment)",Negatived,6,278,0,C-11,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_41-1/votes_metadata.csv
